"Date 	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	CLOSE	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades ",,,
"11-Dec-20	EQ	614.9	625.45	614.25	610.1	621.9	621.7	620.72	632.5	250.85	16395698	""10",177,73,"836.20""	172643"
"10-Dec-20	EQ	606	614	593.5	609.35	614	610.1	603.53	632.5	250.85	19829328	""11",967,589,"060.65""	187226"
"9-Dec-20	EQ	618	620.7	607.1	613.45	608.15	609.35	612.45	632.5	250.85	12730731	""7",796,931,"150.95""	125558"
"8-Dec-20	EQ	616	621.45	602.45	614.55	612.55	613.45	612.16	632.5	250.85	17015853	""10",416,360,"254.60""	190865"
"7-Dec-20	EQ	623.6	629	609.45	622.7	615.5	614.55	618.87	632.5	250.85	15588321	""9",647,130,"590.15""	165903"
"4-Dec-20	EQ	624	632.5	614.6	620.9	623	622.7	624.71	632.5	250.85	20153552	""12",590,42,"591.05""	184757"
"3-Dec-20	EQ	609	624.75	608	604.35	619.3	620.9	619.5	624.75	250.85	24775652	""15",348,475,"402.15""	293733"
"2-Dec-20	EQ	585.7	607.6	584.05	585.8	603.5	604.35	599.82	607.6	250.85	24997085	""14",993,731,"974.05""	244452"
"1-Dec-20	EQ	592	592	576.95	577.35	584.85	585.8	583.87	592	250.85	14739109	""8",605,778,"187.80""	147447"
"27-Nov-20	EQ	570	582.35	563.05	568.4	574.9	577.35	575.57	582.35	250.85	46291248	""26",644,15,"159.60""	258773"
"26-Nov-20	EQ	546	571.1	541.25	541.25	569.4	568.4	556.1	571.1	250.85	22570185	""12",551,386,"537.60""	218684"
"25-Nov-20	EQ	551	558.65	539.5	548.3	541	541.25	548.88	558.65	250.85	17680989	""9",704,772,"513.85""	181457"
"24-Nov-20	EQ	547.95	550.45	541.4	543.1	548.25	548.3	546.47	550.45	250.85	13029126	""7",119,980,"105.95""	143396"
"23-Nov-20	EQ	538	546	536.35	532.9	541.65	543.1	541.6	546	250.85	17025425	""9",220,894,"854.40""	170796"
"20-Nov-20	EQ	526	541.7	521	523.6	531.55	532.9	531.26	541.7	250.85	26686000	""14",177,101,"608.70""	241777"
"19-Nov-20	EQ	511.85	535.7	510	517.2	523.1	523.6	527.51	535.7	250.85	20137998	""10",623,16,"368.55""	200609"
"18-Nov-20	EQ	518	523.8	510.65	522.7	517	517.2	517.29	530.95	250.85	17481513	""9",42,950,"976.10""	222088"
"17-Nov-20	EQ	506	530.95	501.7	492.2	521.6	522.7	522.7	530.95	250.85	64284599	""33",601,552,"639.95""	492271"
"14-Nov-20	EQ	496.55	499.5	487	486.55	490.95	492.2	494.15	506	250.85	7837400	""3",872,837,"298.60""	76087"
"13-Nov-20	EQ	470.85	488.4	465	473.15	487.5	486.55	477.59	506	250.85	23418187	""11",184,286,"956.65""	180793"
"12-Nov-20	EQ	472	479.9	466.3	473.95	470.3	473.15	472.69	506	250.85	23493685	""11",105,176,"938.75""	189033"
"11-Nov-20	EQ	441.9	477.35	439.6	441.9	476	473.95	459.41	506	250.85	36861833	""16",934,613,"115.70""	276197"
"10-Nov-20	EQ	440	453.25	435.55	438.3	442	441.9	444.07	506	250.85	26200240	""11",634,695,"847.85""	211052"
"9-Nov-20	EQ	433	439.9	427.4	426.5	436.4	438.3	433.69	506	250.85	15830862	""6",865,693,"537.55""	141372"
"6-Nov-20	EQ	424.5	432.9	422.65	425.5	424.85	426.5	427.75	506	250.85	17398193	""7",442,146,"779.15""	138035"
"5-Nov-20	EQ	412	428.25	409.15	403.9	424.6	425.5	420.6	506	250.85	26517756	""11",153,242,"908.80""	211323"
"4-Nov-20	EQ	408.9	415.05	401.4	406.9	403.15	403.9	406.25	506	250.85	13614366	""5",530,844,"611.70""	103672"
"3-Nov-20	EQ	407.5	412.2	404.45	402.85	406.15	406.9	408.32	506	250.85	12258034	""5",5,194,"482.40""	129787"
"2-Nov-20	EQ	410	412.5	398.7	410.55	401.8	402.85	405.06	506	250.85	13143109	""5",323,709,"071.95""	108945"
"30-Oct-20	EQ	402.7	412.9	395.2	401.4	408.7	410.55	405.04	506	250.85	18021051	""7",299,282,"164.45""	129717"
"29-Oct-20	EQ	399.45	405	395.3	402.3	400.35	401.4	400.4	506	250.85	13860410	""5",549,745,"454.80""	123358"
