Date,Open,High,Low,CLOSE,Adj Close,Volume
7/3/2019,163.75,165,161.699997,162.300003,162.300003,13606179
7/4/2019,162.5,167.75,162,165.199997,165.199997,19512938
7/5/2019,165.149994,166.949997,159.5,160.199997,160.199997,14374084
7/8/2019,159.350006,159.5,153.5,154.550003,154.550003,15149035
7/9/2019,154,157.149994,152.75,155.800003,155.800003,16112345
7/10/2019,156.25,156.25,149.100006,151.649994,151.649994,31737846
7/11/2019,153,157.699997,150.350006,156.800003,156.800003,24099895
7/12/2019,155.899994,162.850006,154,159.300003,159.300003,27307153
7/15/2019,159,162.600006,157.850006,160.949997,160.949997,19924720
7/16/2019,159.800003,170.949997,159.050003,170,170,39025331
7/17/2019,170,172.350006,166.300003,167.899994,167.899994,25236730
7/18/2019,167.25,167.25,160,160.75,160.75,19055022
7/19/2019,161.449997,162.399994,153.850006,154.850006,154.850006,18954216
7/22/2019,155.449997,159.300003,155.25,156.75,156.75,15995349
7/23/2019,157.399994,159,154.800003,156.199997,156.199997,12942555
7/24/2019,156.350006,157.550003,150.5,151.25,151.25,16292964
7/25/2019,151.300003,152.5,143.75,144.300003,144.300003,34364032
7/26/2019,138.100006,150.149994,138.100006,147.149994,147.149994,83905651
7/29/2019,146.899994,146.899994,136.850006,137.550003,137.550003,38844222
7/30/2019,138,139.699997,132.600006,133.449997,133.449997,35725524
7/31/2019,133.5,136.399994,132.5,135.600006,135.600006,27024859
8/1/2019,135.5,136.300003,127.550003,129.550003,129.550003,38991424
8/2/2019,128.5,133.199997,127,130.699997,130.699997,44016138
8/5/2019,128,128.199997,122.300003,123.75,123.75,35452262
8/6/2019,123.050003,126.550003,121.75,122.5,122.5,34790369
8/7/2019,122.599998,123.849998,116.5,117.400002,117.400002,37287779
8/8/2019,118,125,116.900002,124.050003,124.050003,35876237
8/9/2019,124.5,126.5,120.699997,122.050003,122.050003,39245417
8/13/2019,123.800003,126.300003,121,121.949997,121.949997,35498118
8/14/2019,122.699997,123.800003,118.599998,120.900002,120.900002,30136178
8/16/2019,119.900002,122.449997,117.349998,121.349998,121.349998,35264621
8/19/2019,121.199997,122.599998,120,120.800003,120.800003,23194786
8/20/2019,120,124.800003,119,123.849998,123.849998,34809225
8/21/2019,123,123,109.5,112.400002,112.400002,83509593
8/22/2019,112,114,106.199997,107.699997,107.699997,58612708
8/23/2019,108.900002,111.599998,107.650002,111.050003,111.050003,41178606
8/26/2019,114.550003,115.400002,106.800003,110.550003,110.550003,47757623
8/27/2019,112.699997,121.400002,111.800003,120.349998,120.349998,70636441
8/28/2019,120.550003,124,114.800003,116.349998,116.349998,74245952
8/29/2019,116.5,118.5,112.099998,114.300003,114.300003,48098849
8/30/2019,115.599998,117.300003,112,116.699997,116.699997,42250518
9/3/2019,113.050003,115.349998,111.199997,112.650002,112.650002,36905736
9/4/2019,112,113,106,109.5,109.5,76317447
9/5/2019,109.75,119.349998,109.5,118.050003,118.050003,75789807
9/6/2019,118.349998,122.300003,116.550003,121.25,121.25,67761586
9/9/2019,119,122.599998,117.349998,121.900002,121.900002,51297512
9/11/2019,127,135,125.300003,134.350006,134.350006,96568372
9/12/2019,134.600006,135.350006,126.699997,127.949997,127.949997,72084195
9/13/2019,129.199997,130.949997,125.5,129.550003,129.550003,69088728
9/16/2019,128,130.300003,126.5,128.600006,128.600006,40951047
9/17/2019,129,130.5,121.349998,122,122,47652658
9/18/2019,123.050003,125.900002,120.5,121.75,121.75,53048836
9/19/2019,123.5,125.349998,121.199997,124.199997,124.199997,51011848
9/20/2019,125,137.75,122.599998,133.25,133.25,89223235
9/23/2019,135,138.399994,126.5,127.900002,127.900002,51032391
9/24/2019,128.050003,132.199997,128,130.899994,130.899994,41659100
9/25/2019,129.899994,129.899994,121.5,123.050003,123.050003,47567575
9/26/2019,123.900002,127.25,122.800003,124.5,124.5,45866398
9/27/2019,122,122.449997,118.199997,119.900002,119.900002,45875793
9/30/2019,120.650002,120.849998,116.400002,117.449997,117.449997,32158885
10/1/2019,118,119.849998,113,115.300003,115.300003,40232789
10/3/2019,112.650002,123.5,112.650002,122.400002,122.400002,65103359
10/4/2019,122.800003,123.800003,118.800003,119.650002,119.650002,35712218
10/7/2019,120.25,120.550003,116.349998,117.5,117.5,35471184
10/9/2019,118.5,121.699997,115.449997,120.900002,120.900002,44666296
10/10/2019,119.300003,119.699997,116.199997,116.800003,116.800003,31229192
10/11/2019,118.050003,122.199997,117.25,121.300003,121.300003,41027561
10/14/2019,122.599998,130,122.5,127.849998,127.849998,68048611
10/15/2019,127.099998,128.899994,123.699997,126.949997,126.949997,57548920
10/16/2019,127.300003,128.300003,124.5,125.849998,125.849998,31522518
10/17/2019,127.099998,144.350006,125.099998,139.5,139.5,67933615
10/18/2019,139,141.800003,135.600006,136.850006,136.850006,64884113
10/22/2019,133.350006,135.600006,129.800003,131.75,131.75,53532482
10/23/2019,130.449997,133.800003,127.25,132.649994,132.649994,50293574
10/24/2019,133,135.149994,130.5,133.5,133.5,41951668
10/25/2019,132,133,125.699997,126.849998,126.849998,42868958
10/27/2019,139.5,150.699997,139.5,147.699997,147.699997,39489993
10/29/2019,151.899994,175.5,151.199997,172.449997,172.449997,184435614
10/30/2019,175,175.649994,166.550003,171.899994,171.899994,90759545
10/31/2019,169.800003,179.649994,168.949997,177.699997,177.699997,81392641
11/1/2019,175.199997,178,172.399994,175.050003,175.050003,40613555
11/4/2019,171.600006,178.449997,170.850006,172.199997,172.199997,40641411
11/5/2019,173.25,175.75,169.949997,172,172,36268596
11/6/2019,172,176.350006,170.5,174.5,174.5,28923778
11/7/2019,174.699997,174.699997,167.600006,171.5,171.5,38625387
11/8/2019,170.75,178.899994,167.800003,169.050003,169.050003,39102947
11/11/2019,169.199997,172.949997,169.050003,172,172,22192924
11/13/2019,171.5,176,169.399994,170.600006,170.600006,33926248
11/14/2019,170.199997,170.300003,165.5,167.050003,167.050003,25433481
11/15/2019,169,173.399994,167.350006,168.550003,168.550003,29614682
11/18/2019,172.100006,172.100006,169.25,170.100006,170.100006,19053232
11/19/2019,170.800003,171.75,167.100006,167.75,167.75,19599195
11/20/2019,167.75,170.199997,166.199997,167.399994,167.399994,19504078
11/21/2019,166.949997,170.100006,163,164.149994,164.149994,21609120
11/22/2019,164.899994,165.25,160.550003,162.350006,162.350006,21200979
11/25/2019,160.699997,166.600006,159.899994,166.100006,166.100006,26131453
11/26/2019,166.649994,167.300003,162.550003,163.399994,163.399994,25520822
11/27/2019,165.300003,169.300003,165,165.899994,165.899994,29527702
11/28/2019,165.75,166.300003,163.550003,164.800003,164.800003,16609775
11/29/2019,164.800003,167.75,160.600006,161.5,161.5,20010205
12/2/2019,160.949997,163,158.949997,161.050003,161.050003,19441998
12/3/2019,162.949997,162.949997,157.399994,158.199997,158.199997,21156471
12/4/2019,158.5,170.350006,157.699997,169.399994,169.399994,72084687
12/5/2019,170.350006,172.199997,165.199997,166.100006,166.100006,31787128
12/6/2019,167,168,160.050003,161.5,161.5,27727162
12/9/2019,162,166.449997,159.75,160.5,160.5,30920409
12/10/2019,162.149994,163.25,159.050003,159.699997,159.699997,26259395
12/11/2019,160.399994,163,157.399994,161.800003,161.800003,21154277
12/12/2019,163.449997,174.899994,162.5,173.350006,173.350006,66138915
12/13/2019,177.25,183.949997,175.5,176.699997,176.699997,93019636
12/16/2019,177,178.800003,173.350006,174.949997,174.949997,26249975
12/17/2019,176,181.149994,175.350006,180.199997,180.199997,38213263
12/18/2019,182.100006,184.5,170.449997,174.800003,174.800003,63861334
12/19/2019,174.649994,180.199997,174,179.149994,179.149994,53466924
12/20/2019,180.399994,181.699997,174.850006,175.949997,175.949997,48818008
12/23/2019,176.850006,179,174.149994,176.050003,176.050003,27192195
12/24/2019,177.649994,178,174.649994,175.5,175.5,20560311
12/26/2019,175.899994,176.449997,174.100006,174.600006,174.600006,18785333
12/27/2019,176,176.949997,174.850006,176.149994,176.149994,12095797
12/30/2019,177.199997,184.350006,176.300003,183.699997,183.699997,40948394
12/31/2019,184,187.899994,181.550003,185.149994,185.149994,52869996
1/1/2020,185.149994,186.699997,183.600006,184.449997,184.449997,25968357
1/2/2020,185,194.699997,184.600006,193.75,193.75,57289863
1/3/2020,192.899994,195.649994,189.25,191.100006,191.100006,47572728
1/6/2020,191,191,185.050003,185.649994,185.649994,28621212
1/7/2020,187,189.399994,182.300003,184.699997,184.699997,34995035
1/8/2020,180.199997,184.199997,180.199997,182.550003,182.550003,21862695
1/9/2020,184.850006,192.75,184.25,192,192,40803142
1/10/2020,192,199,190,196.350006,196.350006,60252338
1/13/2020,194.75,197.75,191.399994,196.25,196.25,40535961
1/14/2020,195.699997,198.25,193.600006,195.850006,195.850006,29867542
1/15/2020,195,201.699997,194,200.350006,200.350006,38485962
1/16/2020,199.5,200.600006,196.899994,197.550003,197.550003,28118140
1/17/2020,197.25,199.449997,195.699997,197.300003,197.300003,18204088
1/20/2020,198,201.449997,194.300003,195,195,28976013
1/21/2020,195.5,196.399994,190.199997,191.399994,191.399994,20859400
1/22/2020,191.949997,192.5,184.25,185.600006,185.600006,32952072
1/23/2020,186.75,190.399994,183.800003,188.399994,188.399994,33032086
1/24/2020,188,191,185,186.5,186.5,21791825
1/27/2020,185.699997,186.899994,180.850006,182.199997,182.199997,30132428
1/28/2020,183.899994,184.300003,174.899994,176.100006,176.100006,38283588
1/29/2020,178.800003,188.899994,178.550003,188.050003,188.050003,61585660
1/30/2020,190.949997,192.550003,184.25,186.199997,186.199997,70900581
1/31/2020,186.300003,188.350006,175.949997,176.600006,176.600006,75621897
2/3/2020,163.5,168.300003,159.550003,163.850006,163.850006,66616190
2/4/2020,166.550003,168.600006,161.199997,165.699997,165.699997,49034642
2/5/2020,167.399994,184.949997,166.600006,183.75,183.75,92982265
2/6/2020,182,183.399994,175.75,178.850006,178.850006,61821140
2/7/2020,177.399994,178.149994,173,173.600006,173.600006,45195760
2/10/2020,173.199997,173.199997,168,168.899994,168.899994,33279372
2/11/2020,171.850006,175.149994,168.399994,169.75,169.75,42868276
2/12/2020,173,173.300003,169,170.949997,170.949997,34621395
2/13/2020,171.350006,172.350006,168.100006,169.5,169.5,25049848
2/14/2020,172,176.199997,168.300003,169.100006,169.100006,56676430
2/17/2020,170.399994,171.350006,166.350006,169.100006,169.100006,32893274
2/18/2020,168,168,158.600006,161.600006,161.600006,52744122
2/19/2020,162.850006,164.600006,153.050003,158.050003,158.050003,78914233
2/20/2020,157.949997,162.300003,156,158.5,158.5,54328194
2/24/2020,154,155.899994,149.600006,150.649994,150.649994,39706007
2/25/2020,152.199997,153.399994,147.449997,149.899994,149.899994,52719851
2/26/2020,146.899994,147.899994,143.699997,144.550003,144.550003,47605927
2/27/2020,144.149994,146.75,141.100006,145.25,145.25,51328153
2/28/2020,138.850006,139.600006,127.050003,128.949997,128.949997,94469619
3/2/2020,133,133.899994,123.800003,125.400002,125.400002,111585697
3/3/2020,127.5,131.399994,125.25,130.350006,130.350006,86765576
3/4/2020,129.600006,129.600006,120.550003,126.199997,126.199997,97546902
3/5/2020,127.550003,129.149994,124.25,125.75,125.75,87795649
3/6/2020,115,117.300003,112.800003,114.199997,114.199997,83971462
3/9/2020,109,109.849998,104.25,105.699997,105.699997,81549809
3/11/2020,104.849998,106.5,97.800003,98.900002,98.900002,111146790
3/12/2020,91.099998,94.900002,84.099998,88,88,143550830
3/13/2020,81.900002,94.150002,78.050003,89.75,89.75,106151311
3/16/2020,85.599998,87.650002,82.199997,82.949997,82.949997,73702778
3/17/2020,83.050003,85,77.400002,77.949997,77.949997,71842549
3/18/2020,79.900002,80.449997,75.099998,75.5,75.5,70105052
3/19/2020,70,76.5,68.75,72.949997,72.949997,68122549
3/20/2020,74,79.599998,72.650002,77.300003,77.300003,86043342
3/23/2020,70,72,66,66.199997,66.199997,34184325
3/24/2020,69.900002,71.5,63.5,68.550003,68.550003,49551990
3/25/2020,67.75,71.699997,67.25,70.25,70.25,57713806
3/26/2020,71.449997,73.5,68.300003,70.800003,70.800003,63821068
3/27/2020,72.050003,75.900002,69.349998,70.699997,70.699997,58814757
3/30/2020,68.800003,70,67.25,68.150002,68.150002,35278010
3/31/2020,70.599998,71.5,68.199997,71.050003,71.050003,46157286
4/1/2020,70.5,71.650002,67.550003,67.949997,67.949997,38149007
4/3/2020,66.900002,66.900002,64.800003,65.300003,65.300003,35346301
4/7/2020,68.550003,69.300003,66.900002,67.25,67.25,42066469
4/8/2020,66.5,71.599998,65.400002,67.599998,67.599998,82179303
4/9/2020,69.599998,76.25,69.099998,74.599998,74.599998,112677273
4/13/2020,76,77.599998,72.699997,74.25,74.25,70409900
4/15/2020,75.400002,78.699997,71.949997,72.900002,72.900002,81121081
4/16/2020,71.75,75.400002,71,74.650002,74.650002,47910164
4/17/2020,78.300003,78.300003,74.699997,76.849998,76.849998,58333485
4/20/2020,76.849998,83.400002,75.5,80.449997,80.449997,125425355
4/21/2020,78,78,74,74.650002,74.650002,58248325
4/22/2020,74.449997,76.550003,72.550003,75.900002,75.900002,56529293
4/23/2020,76.75,78.650002,75.400002,75.650002,75.650002,50366856
4/24/2020,75,76.900002,74,74.199997,74.199997,40047438
4/27/2020,75.900002,76.199997,74.800003,75.25,75.25,27835340
4/28/2020,75.650002,78.199997,75.199997,76.949997,76.949997,34825405
4/29/2020,77.449997,79.300003,76.550003,78.150002,78.150002,40784783
4/30/2020,85.949997,93.75,85.949997,93.25,93.25,170634033
5/4/2020,87,87.199997,81.5,83.900002,83.900002,91159477
5/5/2020,86,86.800003,80.400002,80.900002,80.900002,57122148
5/6/2020,81.550003,83.949997,80.349998,83.199997,83.199997,53739248
5/7/2020,82.900002,84.650002,82.099998,82.5,82.5,31159970
5/8/2020,84.5,84.949997,80.550003,81.050003,81.050003,35362751
5/11/2020,81.449997,90.650002,81.400002,86.099998,86.099998,152588401
