Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,CLOSE,VOLUME ,VALUE ,No of trades 
09/23/20,377,378,356.45,374.15,361.3,16984600,"6,163,628,027.60",141359
09/22/20,374,378.5,358.2,373.4,374.15,22013027,"8,137,752,374.45",182809
09/21/20,396,399.2,371,395.5,373.4,14138761,"5,439,017,318.25",145719
09/18/20,402.1,405.65,393.4,398.7,395.5,16842244,"6,727,461,108.35",121300
09/17/20,401.95,407.5,393.2,404.6,398.7,14808022,"5,904,984,176.40",131100
09/16/20,406.45,410,402.7,405.25,404.6,9987412,"4,053,785,909.50",89850
09/15/20,407,410.55,403.55,404.65,405.25,9132749,"3,715,307,789.80",86138
09/14/20,410,414.1,402.15,407.5,404.65,12331121,"5,030,802,282.35",144469
09/11/20,408.75,412.65,402.5,408,407.5,13687127,"5,571,840,267.25",139514
09/10/20,424,425.9,401.1,417.4,408,22920783,"9,439,278,033.35",189921
09/09/20,398.8,420.15,386.5,405.1,417.4,31999875,"12,974,163,761.50",238419
09/08/20,425.75,425.75,402.6,422.5,405.1,11637370,"4,821,525,228.95",123082
09/07/20,423.7,428.4,418.45,421.3,422.5,9628406,"4,073,304,677.05",80818
09/04/20,428.1,433.95,419,438.1,421.3,10530674,"4,507,857,768.50",102510
09/03/20,442.5,443.65,435.9,438.65,438.1,10214289,"4,485,216,473.25",101286
09/02/20,430.05,441.7,427.1,428.65,438.65,11739341,"5,088,795,789.75",104223
09/01/20,413.9,432.7,411.95,413,428.65,14072848,"5,935,761,477.10",107764
08/31/20,426.5,430.15,410,424.2,413,15746139,"6,612,000,623.50",123587
08/28/20,429.65,438,423.05,426.85,424.2,15212017,"6,547,488,887.00",139003
08/27/20,425.5,430.2,423,425,426.85,9549716,"4,067,892,911.10",93181
08/26/20,425,427.75,422.2,424,425,7957164,"3,380,481,990.05",68604
08/25/20,432,432.65,421.45,429.5,424,10554484,"4,492,716,617.80",119137
08/24/20,433.6,437.75,428.1,428.85,429.5,9093889,"3,927,951,174.60",82038
08/21/20,435.75,442,426.55,432.6,428.85,13482327,"5,874,527,926.45",121943
08/20/20,425,438.3,423.05,431.7,432.6,15846609,"6,852,510,971.10",141367
08/19/20,434.5,435.55,428.85,434.5,431.7,11843731,"5,111,884,629.95",98176
08/18/20,421.65,436.8,419.7,425.05,434.5,17342261,"7,440,728,990.95",146163
08/17/20,418,429.15,414.25,418.5,425.05,18145953,"7,687,593,644.90",141923
08/14/20,410,430.95,409.1,413.1,418.5,47742372,"20,071,593,283.55",315846
08/13/20,418.2,421.7,408.85,414.5,413.1,12422203,"5,140,574,042.65",99676
08/12/20,413.7,417.35,407.55,416.45,414.5,11574692,"4,778,924,976.30",104644
08/11/20,413.1,427.6,412.5,410.2,416.45,25885192,"10,903,230,075.60",196871
08/10/20,405.75,411.55,399.6,404.05,410.2,12018305,"4,879,476,229.60",110503
08/07/20,395.9,406.7,393.1,400.45,404.05,15176343,"6,107,813,365.35",139632
08/06/20,389.75,402.8,385.5,395.8,400.45,22123358,"8,712,704,876.55",196968
08/05/20,373.05,397.9,373.05,372.25,395.8,30559760,"11,868,096,905.00",259897
08/04/20,374.5,378,367.65,373.5,372.25,11184430,"4,157,495,585.00",111097
08/03/20,364.75,376.85,362.05,366.3,373.5,11137571,"4,140,904,825.70",103111
07/31/20,365.6,370.4,360.4,366.6,366.3,9024955,"3,298,435,294.60",76352
07/30/20,377,377.8,364.1,373.75,366.6,10399075,"3,845,889,062.05",113496
07/29/20,359,378.45,356.15,358.5,373.75,30116131,"11,181,538,255.90",262703
07/28/20,353.6,360,352.75,352.85,358.5,10640327,"3,796,022,209.05",94982
07/27/20,351,353.9,344.25,346.1,352.85,11835628,"4,148,070,334.15",107594
07/24/20,347,349.8,342.55,351.9,346.1,8918940,"3,085,360,337.80",73901
07/23/20,350.1,356.4,347.65,350.05,351.9,9625277,"3,388,015,870.15",81763
07/22/20,360.5,362.9,346.6,359.15,350.05,17844237,"6,353,235,528.45",157442
07/21/20,356,360.6,349.5,352.4,359.15,11368275,"4,029,261,812.75",114527
07/20/20,351.1,354.7,346.6,350.95,352.4,9532817,"3,341,136,548.65",96655
07/17/20,346,356.8,345.15,341.65,350.95,24416975,"8,619,826,518.35",208229
07/16/20,338,346.5,331.55,339.3,341.65,10586106,"3,582,011,512.40",102372
07/15/20,340.65,346.5,338,336.65,339.3,9687663,"3,323,081,321.15",85616
07/14/20,339,339,332.6,342.1,336.65,8307089,"2,790,272,023.65",78148
07/13/20,343.3,347,338.5,338.7,342.1,12115002,"4,150,555,312.30",115689
07/10/20,341.95,344.3,335.2,344.5,338.7,12526909,"4,246,370,351.40",110110
07/09/20,337,348.5,336.5,334.2,344.5,24403806,"8,424,483,686.65",230676
07/08/20,332.8,346.4,332,330.3,334.2,21561168,"7,326,287,444.85",175976
07/07/20,338.8,338.85,328.05,338.9,330.3,10839521,"3,600,974,427.85",139113
07/06/20,333.15,341.7,330.3,329.9,338.9,14144208,"4,778,841,166.30",135444
07/03/20,337,337,327.35,334.9,329.9,10612730,"3,524,440,290.95",90027
07/02/20,327.05,337.5,324.55,323.7,334.9,11971928,"3,960,272,227.95",112477
07/01/20,329,329.6,320.3,326.7,323.7,10489533,"3,392,236,695.35",96601
06/30/20,323.1,337.65,323.1,320.85,326.7,36523647,"12,115,276,397.40",274900
06/29/20,323,326,312.1,323.85,320.85,11961198,"3,798,868,322.80",103154
06/26/20,325.8,329.95,322.55,323.1,323.85,9706335,"3,171,559,658.90",85340
06/25/20,322,327.4,321,326.05,323.1,11345728,"3,681,441,250.55",107613
06/24/20,336.6,338.15,324.75,332,326.05,20782956,"6,905,589,579.45",163710
06/23/20,327.7,333.5,326.15,325.7,332,12551154,"4,149,267,135.45",106270
